epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0423,1.81465,4.8037,0.01626,0.00882,0.2064,0.03409,0.01802,1.64,5.23698,0.01726,0.000219202,0.000219202,0.000219202
2,45.715,1.74646,3.56669,0.01546,0.67833,0.21331,0.19999,0.0946,1.78901,3.88724,0.01962,0.000437164,0.000437164,0.000437164
3,64.2763,1.75287,3.03638,0.01593,0.52098,0.26456,0.2347,0.11405,1.77984,3.4815,0.01978,0.000650724,0.000650724,0.000650724
4,82.5633,1.74435,2.72679,0.01559,0.48579,0.34062,0.33715,0.16659,1.82408,3.0342,0.02095,0.00064719,0.00064719,0.00064719
5,101.222,1.72725,2.4533,0.01532,0.68223,0.30356,0.34881,0.17432,1.76927,2.84174,0.01965,0.000640587,0.000640587,0.000640587
6,119.764,1.73197,2.35721,0.01553,0.67606,0.33482,0.3609,0.18272,1.76429,2.57107,0.01885,0.000633983,0.000633983,0.000633983
7,138.184,1.6987,2.23135,0.01519,0.58734,0.37601,0.38769,0.1976,1.75365,2.44747,0.01901,0.00062738,0.00062738,0.00062738
8,156.615,1.693,2.14252,0.01493,0.658,0.34871,0.39406,0.20009,1.72712,2.37261,0.01881,0.000620777,0.000620777,0.000620777
9,175.13,1.66584,2.00297,0.01472,0.55917,0.36947,0.39195,0.19882,1.7789,2.23134,0.0198,0.000614174,0.000614174,0.000614174
10,192.936,1.69127,1.9865,0.01516,0.86105,0.31471,0.40553,0.20265,1.77604,2.14273,0.01932,0.00060757,0.00060757,0.00060757
11,211.279,1.66504,1.87451,0.01473,0.65362,0.39808,0.41614,0.2079,1.77741,2.05156,0.01911,0.000600967,0.000600967,0.000600967
12,229.644,1.66936,1.83287,0.01468,0.76753,0.36065,0.41822,0.20778,1.77866,2.01104,0.01952,0.000594364,0.000594364,0.000594364
13,247.845,1.64994,1.79094,0.01461,0.64148,0.39037,0.41817,0.20293,1.87578,2.0361,0.02183,0.00058776,0.00058776,0.00058776
14,266.095,1.66009,1.74019,0.01428,0.77151,0.38318,0.43077,0.21437,1.753,1.83373,0.01863,0.000581157,0.000581157,0.000581157
15,284.747,1.65454,1.69279,0.01428,0.66418,0.41933,0.43817,0.21173,1.79341,1.81429,0.01909,0.000574554,0.000574554,0.000574554
16,302.865,1.63912,1.65377,0.01409,0.69775,0.43018,0.44192,0.21706,1.7885,1.80195,0.01917,0.00056795,0.00056795,0.00056795
17,321.028,1.6469,1.62395,0.01429,0.69206,0.39825,0.44222,0.21863,1.7882,1.82582,0.01951,0.000561347,0.000561347,0.000561347
18,339.64,1.65264,1.63155,0.01468,0.69169,0.4325,0.45134,0.22251,1.77879,1.73783,0.01893,0.000554744,0.000554744,0.000554744
19,358.051,1.62712,1.5748,0.01446,0.72558,0.4122,0.45853,0.23199,1.75476,1.70998,0.01873,0.000548141,0.000548141,0.000548141
20,376.394,1.62579,1.55466,0.0144,0.72681,0.43624,0.46722,0.23704,1.7663,1.67283,0.01882,0.000541537,0.000541537,0.000541537
21,394.62,1.6212,1.51197,0.0143,0.706,0.42003,0.46879,0.22829,1.79097,1.67455,0.01948,0.000534934,0.000534934,0.000534934
22,412.832,1.62421,1.50857,0.01385,0.68206,0.44899,0.48557,0.245,1.75371,1.60205,0.01868,0.000528331,0.000528331,0.000528331
23,431.116,1.60541,1.46837,0.01396,0.59897,0.47457,0.48712,0.24174,1.75512,1.61602,0.01864,0.000521727,0.000521727,0.000521727
24,449.205,1.61031,1.49326,0.01418,0.69914,0.40784,0.437,0.21642,1.75675,1.68542,0.01863,0.000515124,0.000515124,0.000515124
25,467.308,1.59545,1.48193,0.01404,0.81261,0.42488,0.47961,0.24041,1.75486,1.57693,0.01844,0.000508521,0.000508521,0.000508521
26,485.498,1.58593,1.38445,0.01363,0.64814,0.49313,0.4811,0.23436,1.8081,1.62322,0.01893,0.000501917,0.000501917,0.000501917
27,503.798,1.59776,1.40234,0.01339,0.62977,0.4502,0.46741,0.23115,1.77426,1.62549,0.01893,0.000495314,0.000495314,0.000495314
28,521.867,1.57226,1.37623,0.01392,0.66008,0.45078,0.47451,0.23669,1.7691,1.57199,0.01896,0.000488711,0.000488711,0.000488711
29,539.954,1.58986,1.38015,0.01367,0.70046,0.43787,0.47024,0.23435,1.8035,1.57078,0.01898,0.000482108,0.000482108,0.000482108
30,557.988,1.58181,1.37109,0.01364,0.6562,0.46208,0.48081,0.24164,1.79175,1.53625,0.019,0.000475504,0.000475504,0.000475504
31,576.245,1.56583,1.35631,0.01343,0.77724,0.43361,0.48656,0.24404,1.76072,1.53295,0.01853,0.000468901,0.000468901,0.000468901
32,594.63,1.55721,1.32249,0.01286,0.77882,0.44856,0.50157,0.24728,1.7849,1.52739,0.01902,0.000462298,0.000462298,0.000462298
33,613.122,1.55826,1.31923,0.0131,0.62083,0.4525,0.48235,0.24005,1.80279,1.51558,0.01892,0.000455694,0.000455694,0.000455694
34,631.291,1.55282,1.28216,0.01288,0.73882,0.41463,0.46777,0.23439,1.82781,1.52455,0.0193,0.000449091,0.000449091,0.000449091
35,649.526,1.54891,1.29595,0.01316,0.75394,0.4611,0.49834,0.24315,1.77845,1.48268,0.01866,0.000442488,0.000442488,0.000442488
36,667.566,1.54681,1.3231,0.0127,0.77345,0.45771,0.50203,0.24437,1.77172,1.49469,0.01876,0.000435884,0.000435884,0.000435884
37,685.733,1.54568,1.29949,0.013,0.70553,0.4575,0.48802,0.24525,1.79291,1.46474,0.01896,0.000429281,0.000429281,0.000429281
38,704.04,1.54857,1.2826,0.01333,0.66939,0.4724,0.49268,0.24707,1.77313,1.50504,0.01867,0.000422678,0.000422678,0.000422678
39,722.204,1.53091,1.25659,0.01256,0.77422,0.45577,0.49328,0.24378,1.77468,1.49066,0.01881,0.000416075,0.000416075,0.000416075
40,740.335,1.51527,1.20911,0.01277,0.70243,0.47555,0.49179,0.24413,1.79436,1.48407,0.01879,0.000409471,0.000409471,0.000409471
41,758.647,1.52748,1.23437,0.01274,0.77819,0.46458,0.51746,0.24891,1.79099,1.50438,0.01926,0.000402868,0.000402868,0.000402868
42,777.138,1.51036,1.23528,0.01267,0.75526,0.47461,0.50662,0.24799,1.79951,1.47446,0.01882,0.000396265,0.000396265,0.000396265
43,795.17,1.52912,1.22929,0.0126,0.7385,0.46879,0.50765,0.25389,1.80279,1.46058,0.01934,0.000389661,0.000389661,0.000389661
44,813.657,1.51579,1.22158,0.01269,0.69633,0.48566,0.51683,0.25686,1.77725,1.42712,0.01874,0.000383058,0.000383058,0.000383058
45,832.098,1.51099,1.2154,0.01258,0.68814,0.48611,0.50274,0.25421,1.79279,1.44273,0.01937,0.000376455,0.000376455,0.000376455
